GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
7028;D;Seattle;sea;;H;0;-5200;89;8;11.13;0;5;9;
5344;WR;Moncrief, Donte;ind;den;H;6400;0;87.9;8;10.99;1.72;2.8;10;
2992;RB;Gurley, Todd;stl;min;A;9000;900;87.3;5;17.46;1.94;22.1;6;
2467;RB;Gore, Frank;ind;den;H;6700;0;86.7;8;10.84;1.62;10.7;10;
5287;WR;Snead, Willie;no;ten;H;6100;300;86.6;8;10.83;1.77;22;11;
3872;WR;Crabtree, Michael;oak;pit;A;5800;100;86.3;7;12.33;2.13;19.7;6;
7025;D;St. Louis;stl;min;A;5100;0;86;7;12.29;2.41;12;6;
6206;K;Tucker, Justin;bal;;H;0;-4900;85;8;10.63;0;20;9;
6227;K;McManus, Brandon;den;ind;A;5000;0;83;7;11.86;2.37;11;7;
3902;WR;Decker, Eric;nyj;jac;H;6300;-100;82.3;6;13.72;2.18;15;5;
4292;TE;Watson, Ben;no;ten;H;5700;300;82.2;8;10.28;1.8;25.2;11;
6167;K;Hauschka, Steven;sea;;H;0;-5100;82;8;10.25;0;7;9;
5125;WR;Cobb, Randall;gb;car;A;7400;-200;81.9;7;11.7;1.58;6.7;7;
1413;QB;Foles, Nick;stl;min;A;6300;100;81.2;7;11.6;1.84;13.34;6;
7001;D;Arizona;ari;;H;0;-5400;81;8;10.13;0;6;9;
2889;RB;Bernard, Giovani;cin;cle;H;6200;-500;80;7;11.43;1.84;4.4;7;
1466;QB;Mariota, Marcus;ten;no;A;7100;0;79.76;5;15.95;2.25;0;4;
2831;RB;Murray, DeMarco;phi;dal;A;7500;7500;79.1;6;13.18;1.76;0;8;
7020;D;New York G;nyg;tam;A;4500;100;78;8;9.75;2.17;6;11;
4492;TE;Graham, Jimmy;sea;;H;0;-6100;76;8;9.5;0;11;9;
2933;RB;Hyde, Carlos;sfo;atl;H;6000;-200;75.8;7;10.83;1.8;0;10;
6079;K;Brown, Josh;nyg;tam;A;4800;100;75;8;9.38;1.95;7;11;
6224;K;Santos, Cairo;kan;;H;0;-4700;75;8;9.38;0;9;9;
2997;RB;Johnson, Duke;cle;cin;A;5900;100;73.5;8;9.19;1.56;8.1;11;
2612;RB;Stewart, Jonathan;car;gb;H;6600;0;73.1;7;10.44;1.58;12.8;5;
4562;TE;Green, Ladarius;sdg;chi;H;5200;-100;72.9;7;10.41;2;1.5;10;
5395;RB;Johnson, David;ari;;H;0;-5100;72.7;8;9.09;0;5.8;9;
2603;RB;McFadden, Darren;dal;phi;H;6500;100;72.6;7;10.37;1.6;14.3;6;
3581;WR;Washington, Nate;hou;;H;0;-5400;72.1;5;14.42;0;15.4;9;
2907;RB;Riddick, Theo;det;;H;0;-5300;72.1;8;9.01;0;7.7;9;
6096;K;Gould, Robbie;chi;sdg;A;4600;0;72;6;12;2.61;10;7;
7023;D;Philadelphia;phi;dal;A;4700;4700;72;7;10.29;2.19;0;8;
3754;WR;Garcon, Pierre;was;ne;A;6300;6300;71.5;7;10.21;1.62;0;8;
2830;RB;Vereen, Shane;nyg;tam;A;5700;200;71;8;8.88;1.56;16.3;11;
6204;K;Walsh, Blair;min;stl;H;4900;0;71;7;10.14;2.07;13;5;
6229;K;Catanzaro, Chandler;ari;;H;0;-5000;71;8;8.88;0;10;9;
6233;K;Lambo, Josh;sdg;chi;H;4700;200;71;8;8.88;1.89;10;10;
7005;D;Carolina;car;gb;H;4400;-400;71;7;10.14;2.31;10;5;
2754;RB;Mathews, Ryan;phi;dal;A;5600;5600;69.9;7;9.99;1.78;0;8;
3547;WR;Floyd, Malcom;sdg;chi;H;6100;900;69.4;8;8.68;1.42;23.2;10;
2900;RB;Randle, Joseph;dal;phi;H;5100;-1700;69;6;11.5;2.25;0;6;
2993;RB;Yeldon, T.J.;jac;nyj;A;6400;6400;68.8;6;11.47;1.79;0;8;
2928;RB;Hill, Jeremy;cin;cle;H;6800;500;68.7;7;9.81;1.44;7.3;7;
4573;TE;Reed, Jordan;was;ne;A;5700;5700;68.5;5;13.7;2.4;0;8;
5162;WR;Wright, Kendall;ten;no;A;5700;-200;68.4;7;9.77;1.71;4.8;4;
1232;QB;Roethlisberger, Ben;pit;oak;H;8300;100;67.86;4;16.97;2.04;11.48;11;
5424;WR;Diggs, Stefon;min;stl;H;7400;700;67.3;4;16.83;2.27;18.5;5;
2856;RB;Hillman, Ronnie;den;ind;A;6400;300;67;7;9.57;1.5;18;7;
3670;WR;Ginn Jr., Ted;car;gb;H;5300;0;66.6;7;9.51;1.8;7;5;
6048;K;Janikowski, Sebastian;oak;pit;A;4500;-100;66;7;9.43;2.1;13;6;
2696;RB;Foster, Arian;hou;;H;0;0;66;4;16.5;0;0;9;
2721;RB;Blount, LeGarrette;ne;was;H;6400;200;66;6;11;1.72;7.9;4;
2658;RB;Jennings, Rashad;nyg;tam;A;5500;-200;65.9;8;8.24;1.5;9.5;11;
5158;WR;Randle, Rueben;nyg;tam;A;5500;-100;65.9;8;8.24;1.5;8;11;
5168;WR;Jones, Marvin;cin;cle;H;5200;-200;65.4;7;9.34;1.8;2.4;7;
4262;TE;Witten, Jason;dal;phi;H;5600;100;65;7;9.29;1.66;2.6;6;
6120;K;Folk, Nick;nyj;jac;H;4600;0;65;7;9.29;2.02;9;5;
6172;K;Gano, Graham;car;gb;H;4700;0;65;7;9.29;1.98;14;5;
7012;D;Green Bay;gb;car;A;4800;0;65;7;9.29;1.93;2;7;
7024;D;Pittsburgh;pit;oak;H;4600;0;65;8;8.13;1.77;10;11;
3423;WR;Boldin, Anquan;sfo;atl;H;5700;-300;64.7;7;9.24;1.62;0;10;
2552;RB;Lynch, Marshawn;sea;;H;0;-8300;64.7;6;10.78;0;9.2;9;
4543;TE;Clay, Charles;buf;mia;H;5700;5700;64;7;9.14;1.6;0;8;
2931;RB;Sims, Charles;tam;nyg;H;5100;0;63.5;7;9.07;1.78;6.1;6;
5254;WR;Matthews, Jordan;phi;dal;A;6300;6300;63.3;7;9.04;1.44;0;8;
3995;WR;Tate, Golden;det;;H;0;-6600;63.1;8;7.89;0;8.9;9;
4407;TE;Bennett, Martellus;chi;sdg;A;5400;-300;62.9;7;8.99;1.66;4.7;7;
5136;WR;Baldwin, Doug;sea;;H;0;-5500;62;8;7.75;0;5;9;
2920;RB;Robinson, Khiry;no;ten;H;5200;0;62;8;7.75;1.49;2.7;11;
7018;D;New England;ne;was;H;4900;200;61;7;8.71;1.78;15;4;
2500;RB;Williams, DeAngelo;pit;oak;H;6500;1500;60.7;8;7.59;1.17;13;11;
