GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
5186;WR;Kearse, Jermaine;sea;sfo;H;5200;0;51.8;9;5.76;1.11;1.5;9;
2665;RB;Reece, Marcel;oak;det;A;5000;0;51.6;9;5.73;1.15;0.5;6;
6237;K;Franks, Andrew;mia;dal;H;4700;200;51;9;5.67;1.21;9;5;
5159;WR;Sanu, Mohamed;cin;ari;A;5100;0;50.9;9;5.66;1.11;1;7;
5070;WR;Walters, Bryan;jac;ten;H;5100;-200;50.6;8;6.33;1.24;4.4;8;
5103;WR;Shorts, Cecil;hou;nyj;H;5400;0;50;6;8.33;1.54;3.1;9;
1241;QB;Cassel, Matt;dal;mia;A;6000;-300;49.96;4;12.49;2.08;6.64;6;
2871;RB;Morris, Alfred;was;car;A;5400;200;49.2;9;5.47;1.01;12.1;8;
7003;D;Baltimore;bal;stl;H;4100;-300;49;9;5.44;1.33;5;9;
3858;WR;Hartline, Brian;cle;;H;0;-4900;48.9;9;5.43;0;10.7;11;
4585;TE;Donnell, Larry;nyg;;H;0;-5100;48.8;8;6.1;0;0;11;
1401;QB;Mallett, Ryan;hou;nyj;H;0;-6000;47.9;5;9.58;0;0;9;
5238;WR;Wilson, Marquess;chi;den;H;5100;-200;47.8;9;5.31;1.04;0.6;7;
5402;RB;Rawls, Thomas;sea;sfo;H;5600;600;47.8;8;5.98;1.07;1.9;9;
4537;TE;Rudolph, Kyle;min;gb;H;4700;0;47.7;9;5.3;1.13;1.2;5;
2960;RB;Blue, Alfred;hou;nyj;H;5700;-200;46.4;8;5.8;1.02;3.6;9;
3824;WR;Britt, Kenny;stl;bal;A;5300;-200;45.7;9;5.08;0.96;1.1;6;
5167;WR;Hogan, Chris;buf;ne;A;4900;0;45.66;6;7.61;1.55;0;8;
7006;D;Chicago;chi;den;H;4200;200;45;9;5;1.19;9;7;
5207;WR;Hunter, Justin;ten;jac;A;0;-5000;43.4;9;4.82;0;6.7;4;
4533;TE;Cameron, Jordan;mia;dal;H;4900;0;43.3;9;4.81;0.98;1;5;
5215;WR;Wheaton, Markus;pit;;H;0;-4800;43.3;10;4.33;0;2.8;11;
2908;RB;Juszczyk, Kyle;bal;stl;H;4500;0;43.1;9;4.79;1.06;7.2;9;
7019;D;New Orleans;no;;H;0;-4300;43;10;4.3;0;-1;11;
5263;WR;Adams, Davante;gb;min;A;6800;1000;42.7;6;7.12;1.05;12.9;7;
5212;WR;Stills, Kenny;mia;dal;H;4800;-200;41.9;8;5.24;1.09;0;5;
4327;TE;Fasano, Anthony;ten;jac;A;4500;0;41.6;9;4.62;1.03;2.4;4;
5177;WR;Holmes, Andre;oak;det;A;5100;0;41.6;8;5.2;1.02;9.9;6;
4564;TE;Celek, Garrett;sfo;sea;A;4800;4800;41.6;9;4.62;0.96;0;10;
3848;WR;Heyward-Bey, Darrius;pit;;H;0;-4700;41.4;8;5.18;0;0;11;
1421;QB;Manuel, E.J.;buf;ne;A;5700;0;41.24;3;13.75;2.41;0;8;
5140;WR;Hawkins, Andrew;cle;;H;0;-4800;41.1;8;5.14;0;8.4;11;
6218;K;Hocker, Zach;no;;H;0;0;41;6;6.83;0;0;11;
7009;D;Dallas;dal;mia;A;4400;-200;41;9;4.56;1.04;10;6;
3802;WR;Harvin, Percy;buf;ne;A;0;0;40.4;5;8.08;0;0;8;
4437;TE;Cook, Jared;stl;bal;A;4800;-100;40;9;4.44;0.93;4.5;6;
4461;TE;Miller, Zach;chi;den;H;5000;5000;39.5;6;6.58;1.32;25.2;7;
7027;D;San Francisco;sfo;sea;A;4000;4000;39;9;4.33;1.08;0;10;
2880;RB;Dunbar, Lance;dal;mia;A;0;0;38.7;4;9.68;0;0;6;
1411;QB;Weeden, Brandon;dal;mia;A;5500;0;38.56;4;9.64;1.75;0;6;
5261;WR;Huff, Josh;phi;tam;H;4900;100;38.4;7;5.49;1.12;9.8;8;
4363;TE;Celek, Brent;phi;tam;H;5300;600;38;5;7.6;1.43;15.4;8;
3898;WR;Cooper, Riley;phi;tam;H;5100;0;38;5;7.6;1.49;0;8;
5209;WR;Patton, Quinton;sfo;sea;A;4500;4500;37.9;9;4.21;0.94;0;10;
2927;RB;Sankey, Bishop;ten;jac;A;4600;0;37.9;8;4.74;1.03;0.7;4;
3571;WR;White, Roddy;atl;ind;H;5400;5400;37.5;8;4.69;0.87;0;10;
5408;WR;Roberts, Seth;oak;det;A;4900;-100;37;9;4.11;0.84;1;6;
2879;RB;Polk, Chris;hou;nyj;H;5200;-100;36.8;9;4.09;0.79;1.4;9;
2647;RB;Tolbert, Mike;car;was;H;4900;-100;36.5;9;4.06;0.83;2.6;5;
5382;WR;Green-Beckham, Dorial;ten;jac;A;5500;300;36.1;7;5.16;0.94;0;4;
3748;WR;Royal, Eddie;chi;den;H;4900;0;36;6;6;1.22;0;7;
7026;D;San Diego;sdg;kan;H;4300;4300;36;9;4;0.93;0;10;
3891;WR;Bryant, Dez;dal;mia;A;8400;300;35.4;4;8.85;1.05;7;6;
5326;WR;Coleman, Brandon;no;;H;0;-4900;35.3;10;3.53;0;1.9;11;
5361;WR;Gabriel, Taylor;cle;;H;0;-4900;35.3;10;3.53;0;3.6;11;
5111;WR;Kerley, Jeremy;nyj;hou;A;4800;-300;35.2;8;4.4;0.92;1.2;5;
2958;WR;Thomas, De'Anthony;kan;sdg;A;4500;0;35.2;9;3.91;0.87;5.7;9;
4609;TE;Fells, Darren;ari;cin;H;4800;4800;34.7;6;5.78;1.2;3.6;9;
5392;WR;Montgomery, Ty;gb;min;A;5000;-200;34.5;6;5.75;1.15;0;7;
4651;TE;Walford, Clive;oak;det;A;4800;0;34.2;8;4.28;0.89;8.8;6;
6095;K;Novak, Nick;hou;nyj;H;4500;0;34;6;5.67;1.26;4;9;
3610;WR;Austin, Miles;phi;tam;H;5000;0;33.2;9;3.69;0.74;0;8;
3497;WR;Cotchery, Jerricho;car;was;H;4700;-200;33.1;7;4.73;1.01;1.6;5;
